3002	DD1	BANK1	123456789	2
CD-01	CDDD1	1234	9548562	1
CD-03	CDDD1	1234	2123659	1
SD1000	DEDD1	FIRST	55332266	1
SD1000	DEDD2	FIRST	7982364	1
SD1009	DEDD2	FREEDOM	19079432	1
SD1010	DEDD2	FIRST	90199821	1
SD1015	DEDD2	FREEDOM	12345678	1
SD1020	DEDD2	FIRST	7891234	1
SD1030	DEDD2	FREEDOM	7864321	1
SD1031	DEDD2	EMPIRE	987654	1
SD1035	DEDD2	STANDARD	0003124	1
SD1040	DEDD2	ROYAL	8976543	1
SD1042	DEDD2	FREEDOM	4563210	1
SD1043	DEDD2	EMPIRE	4567891	1
SD1050	DEDD1	AMERNATL	105010501050	1
SD1050	DEDD2	AMERNATL	3217690	1
SD5002	DEDD2	EMPIRE	1234567	1
SD5003	DEDD2	FREEDOM	786321	1
SD5005	DEDD2	FIRST	7895432	1
SD5006	DEDD2	AMERNATL	68432000	1
