Employee,Name.GivenName,Name.MiddleName,Name.FamilyName,StartDate,RelationshipToOrganization,RelationshipStatus,RetirementDate,ID.IssuingAuthority,ID.DocumentNumber,Preferences.PointOfOrigin,PrimaryWorkAssignment
200,Joanne,,Smartson,20030808,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8791,BANK CONTROL GROUP,1
201,Bill,,Smartson,20010601,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8792,BANK CONTROL GROUP,1
202,Peter,,Smartson,20180914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8793,BANK CONTROL GROUP,1
203,Anna,,Smartson,20140106,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8794,BANK CONTROL GROUP,1
204,George,,Smartson,20080310,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8795,BANK CONTROL GROUP,1
205,Christine,,Smartson,20030808,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8796,BANK CONTROL GROUP,1
206,James,,Smartson,20010601,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8797,BANK CONTROL GROUP,1
207,Kirk,,Smartson,20180914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8798,BANK CONTROL GROUP,1
208,Alisha,,Smartson,20140106,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8799,BANK CONTROL GROUP,1
209,Timothy,,Smartson,20080310,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8800,BANK CONTROL GROUP,0
210,Elizabeth,,Smartson,20000501,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8801,BANK CONTROL GROUP,1
211,Martin,,Smartson,19990415,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8802,BANK CONTROL GROUP,0
212,Jean,,Smartson,20100702,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8803,BANK CONTROL GROUP,1
213,Gene,,Smartson,20011008,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8804,BANK CONTROL GROUP,1
214,Hildy,,Smartson,19980701,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8805,BANK CONTROL GROUP,1
215,Thomas,,Smartson,20110914,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8806,BANK CONTROL GROUP,0
216,Alan,,Smartson,20120701,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8807,BANK CONTROL GROUP,1
217,Ginger,,Smartson,20100814,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8808,BANK CONTROL GROUP,1
218,Maria,,Smartson,20150901,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8809,BANK CONTROL GROUP,0
219,Buford,,Smartson,20130201,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8810,BANK CONTROL GROUP,1
220,Neal,,Smartson,20100101,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8811,BANK CONTROL GROUP,1
221,Katherine,,Smartson,20140401,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8812,BANK CONTROL GROUP,0
222,Jose,,Smartson,20130101,EMPLOYEE,ACTIVE,00000000,Social Security,222-55-8813,BANK CONTROL GROUP,0
